unit_id,building_id,unit_number,floor_plan,beds,baths,sqft,floor,gross_rent,net_effective_rent,lease_term,available_date,concession,default_people,max_people,share_plan_type,rent_step_difference,space_1_name,space_2_name,space_3_name,security_deposit_amount,broker_fee_amount,amenity_fee_amount,utilities_estimate_monthly,source_url,source_last_checked,verification_status,verification_notes
10_hanover_square-03n,10_hanover_square,03N,Studio 1B,0,1,,,4132,,13 months,6/5/2026,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-03n,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-04e,10_hanover_square,04E,1B1B,1,1,,,5868,,13 months,6/5/2026,See official UDR pricing page; pricing may vary by lease term,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-04e,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-05g,10_hanover_square,05G,1B1B,1,1,,,5599,,13 months,6/30/2026,See official UDR pricing page; pricing may vary by lease term,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-05g,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-05i,10_hanover_square,05I,Studio 1B,0,1,,,4367,,13 months,7/1/2026,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-05i,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-06p,10_hanover_square,06P,Studio 1B,0,1,,,3983,,13 months,8/28/2026,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-06p,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-07p,10_hanover_square,07P,Studio 1B,0,1,,,4486,,13 months,Now,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-07p,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-07w,10_hanover_square,07W,1B1B,1,1,,,5624,,13 months,Now,See official UDR pricing page; pricing may vary by lease term,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-07w,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-08f,10_hanover_square,08F,1B1B,1,1,,,5825,,13 months,7/31/2026,See official UDR pricing page; pricing may vary by lease term,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-08f,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-08h,10_hanover_square,08H,1B1B,1,1,,,5198,,13 months,Now,See official UDR pricing page; pricing may vary by lease term,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-08h,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-08v,10_hanover_square,08V,Studio 1B,0,1,,,4138,,13 months,6/20/2026,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-08v,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-09y,10_hanover_square,09Y,Studio 1B,0,1,,,4139,,13 months,7/25/2026,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-09y,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-10f,10_hanover_square,10F,1B1B,1,1,,,5819,,12 months,7/18/2026,See official UDR pricing page; pricing may vary by lease term,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-10f,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-11q,10_hanover_square,11Q,Studio 1B,0,1,,,4247,,12 months,8/21/2026,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-11q,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-12a,10_hanover_square,12A,2B2B,2,2,,,8086,,12 months,8/14/2026,See official UDR pricing page; pricing may vary by lease term,2,3,bedroom_split,,Bedroom 1,Bedroom 2,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-12a,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-12n,10_hanover_square,12N,Studio 1B,0,1,,,4107,,13 months,7/3/2026,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-12n,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-17s,10_hanover_square,17S,Studio 1B,0,1,,,4130,,13 months,6/5/2026,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-17s,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-19i,10_hanover_square,19I,1B1B,1,1,,,5478,,12 months,7/4/2026,See official UDR pricing page; pricing may vary by lease term,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-19i,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-19x,10_hanover_square,19X,Studio 1B,0,1,,,3892,,13 months,8/1/2026,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-19x,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-21v,10_hanover_square,21V,Studio 1B,0,1,,,4343,,13 months,7/27/2026,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-21v,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-23h,10_hanover_square,23H,Studio 1B,0,1,,,3749,,12 months,9/4/2026,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-23h,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
10_hanover_square-23x,10_hanover_square,23X,Studio 1B,0,1,,,3918,,13 months,7/31/2026,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/apartment/?number=01-23x,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
1214_fifth_avenue-30511,1214_fifth_avenue,30511,1 Bedroom 1 Bath,1,1,,,5751,,12 months,08/14/2026,See official Related Rentals availability widget,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.relatedrentals.com/apartment-rentals/new-york-city/upper-east-side/1214-fifth-avenue,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
1214_fifth_avenue-30571,1214_fifth_avenue,30571,Alcove Studio 1 Bath,0.5,1,,,4082,,12 months,07/24/2026,See official Related Rentals availability widget,0.5,1.5,whole_unit,,Bedroom 1,Bedroom 2,Bedroom 3,,,,,https://www.relatedrentals.com/apartment-rentals/new-york-city/upper-east-side/1214-fifth-avenue,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
1214_fifth_avenue-30577,1214_fifth_avenue,30577,Alcove Studio 1 Bath,0.5,1,,,4906,,12 months,08/14/2026,See official Related Rentals availability widget,0.5,1.5,whole_unit,,Bedroom 1,Bedroom 2,Bedroom 3,,,,,https://www.relatedrentals.com/apartment-rentals/new-york-city/upper-east-side/1214-fifth-avenue,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
1440-2610,1440,2610,3B2B,3,2,,,7662,,12 months,Available now,Contact leasing office,3,4,bedroom_split,,Bedroom 1,Bedroom 2,Bedroom 3,,,,,https://www.1440amsterdam.com/availability,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
1440-2714,1440,2714,2B1B,2,1,,,5715,,12 months,Available now,Contact leasing office,2,3,bedroom_split,,Bedroom 1,Bedroom 2,,,,,,https://www.1440amsterdam.com/availability,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
1440-2716,1440,2716,2B2B,2,2,,,6395,,12 months,Available now,Contact leasing office,2,3,bedroom_split,,Bedroom 1,Bedroom 2,,,,,,https://www.1440amsterdam.com/availability,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
21_chelsea-311,21_chelsea,311,1B1B,1,1,,,6517,,13 months,6/24/2026,See official UDR pricing page; pricing may vary by lease term,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.udr.com/new-york-city-apartments/chelsea/21-chelsea/apartments-pricing/apartment/?number=311,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
21_chelsea-414,21_chelsea,414,1B1B,1,1,,,6477,,12 months,7/24/2026,See official UDR pricing page; pricing may vary by lease term,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.udr.com/new-york-city-apartments/chelsea/21-chelsea/apartments-pricing/apartment/?number=414,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
21_chelsea-611,21_chelsea,611,1B1B,1,1,,,6717,,12 months,7/24/2026,See official UDR pricing page; pricing may vary by lease term,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.udr.com/new-york-city-apartments/chelsea/21-chelsea/apartments-pricing/apartment/?number=611,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
21_chelsea-714,21_chelsea,714,1B1B,1,1,,,6307,,13 months,6/19/2026,See official UDR pricing page; pricing may vary by lease term,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.udr.com/new-york-city-apartments/chelsea/21-chelsea/apartments-pricing/apartment/?number=714,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
21_chelsea-716,21_chelsea,716,Studio 1B,0,1,,,5095,,14 months,7/3/2026,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/chelsea/21-chelsea/apartments-pricing/apartment/?number=716,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
21_chelsea-1208,21_chelsea,1208,Studio 1B,0,1,,,5459,,14 months,7/14/2026,See official UDR pricing page; pricing may vary by lease term,1,1,whole_unit,,Whole studio,,,,,,,https://www.udr.com/new-york-city-apartments/chelsea/21-chelsea/apartments-pricing/apartment/?number=1208,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
21_chelsea-1506,21_chelsea,1506,1B1B,1,1,,,6491,,13 months,Now,See official UDR pricing page; pricing may vary by lease term,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.udr.com/new-york-city-apartments/chelsea/21-chelsea/apartments-pricing/apartment/?number=1506,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
21_chelsea-1508,21_chelsea,1508,1B1B,1,1,,,6502,,14 months,7/4/2026,See official UDR pricing page; pricing may vary by lease term,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.udr.com/new-york-city-apartments/chelsea/21-chelsea/apartments-pricing/apartment/?number=1508,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
235_grand-0223,235_grand,0223,1B1B,1,1,,,3710,,12 months,6/2/2026,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-0424,235_grand,0424,1B1B,1,1,,,4477,,12 months,6/27/2026,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-0426,235_grand,0426,1B1B,1,1,,,4176,,12 months,6/27/2026,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-0603,235_grand,0603,1B1B,1,1,,,4104,,12 months,6/12/2026,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-1010,235_grand,1010,Studio 1B,0,1,,,3188,,12 months,6/20/2026,See official website,1,1,whole_unit,,Whole studio,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-1201,235_grand,1201,1B1B,1,1,,,4261,,12 months,7/9/2026,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-1202,235_grand,1202,1B1B,1,1,,,4271,,12 months,Available now,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-1203,235_grand,1203,1B1B,1,1,,,4238,,12 months,6/13/2026,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-1401,235_grand,1401,1B1B,1,1,,,4023,,12 months,6/13/2026,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-1602,235_grand,1602,1B1B,1,1,,,4276,,12 months,7/11/2026,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-1706,235_grand,1706,2B2B,2,2,,,5459,,12 months,6/22/2026,See official website,2,3,bedroom_split,,Bedroom 1,Bedroom 2,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-1805,235_grand,1805,2B2B,2,2,,,5285,,12 months,6/12/2026,See official website,2,3,bedroom_split,,Bedroom 1,Bedroom 2,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-2008,235_grand,2008,1B1B,1,1,,,4146,,12 months,Available now,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-2504,235_grand,2504,1B1B,1,1,,,4227,,12 months,8/6/2026,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-2601,235_grand,2601,1B1B,1,1,,,4198,,12 months,7/25/2026,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-2810,235_grand,2810,Studio 1B,0,1,,,3440,,12 months,6/13/2026,See official website,1,1,whole_unit,,Whole studio,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-2906,235_grand,2906,2B2B,2,2,,,5471,,12 months,6/8/2026,See official website,2,3,bedroom_split,,Bedroom 1,Bedroom 2,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-3006,235_grand,3006,2B2B,2,2,,,5578,,12 months,7/9/2026,See official website,2,3,bedroom_split,,Bedroom 1,Bedroom 2,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-3210,235_grand,3210,Studio 1B,0,1,,,3433,,12 months,6/14/2026,See official website,1,1,whole_unit,,Whole studio,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-3306,235_grand,3306,2B2B,2,2,,,5572,,12 months,6/8/2026,See official website,2,3,bedroom_split,,Bedroom 1,Bedroom 2,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-3402,235_grand,3402,1B1B,1,1,,,4418,,12 months,7/18/2026,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-3504,235_grand,3504,1B1B,1,1,,,4310,,12 months,Available now,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-3905,235_grand,3905,2B2B,2,2,,,5255,,12 months,7/11/2026,See official website,2,3,bedroom_split,,Bedroom 1,Bedroom 2,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-4111,235_grand,4111,Studio 1B,0,1,,,3607,,12 months,7/4/2026,See official website,1,1,whole_unit,,Whole studio,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-4113,235_grand,4113,Studio 1B,0,1,,,3468,,12 months,7/8/2026,See official website,1,1,whole_unit,,Whole studio,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
