contact_id,contact_name,role,company,email,phone,wechat,source_name,source_url,building_id,last_updated_at,updated_by,internal_notes
contact_10_hanover_square,10 Hanover Square leasing,leasing_contact,10 Hanover Square,,,,udr.com,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/apartments-pricing/,10_hanover_square,2026-05-28,system_import,
contact_1214_fifth_avenue,1214 Fifth Avenue leasing,leasing_contact,1214 Fifth Avenue,,,,relatedrentals.com,https://www.relatedrentals.com/apartment-rentals/new-york-city/upper-east-side/1214-fifth-avenue,1214_fifth_avenue,2026-05-28,system_import,
contact_1440,1440 leasing,leasing_contact,1440,,,,1440amsterdam.com,https://www.1440amsterdam.com/availability,1440,2026-05-28,system_import,
contact_21_chelsea,21 Chelsea leasing,leasing_contact,21 Chelsea,,,,udr.com,https://www.udr.com/new-york-city-apartments/chelsea/21-chelsea/apartments-pricing/,21_chelsea,2026-05-28,system_import,
contact_235_grand,235 Grand leasing,leasing_contact,235 Grand,,,,235grand.com,https://www.235grand.com/availableunits,235_grand,2026-05-28,system_import,
contact_47_05_center_boulevard,47-05 Center Boulevard leasing,leasing_contact,47-05 Center Boulevard,,,,rockrose.com,https://rockrose.com/building/47-05-center-boulevard/,47_05_center_boulevard,2026-05-28,system_import,
contact_555ten,555TEN leasing,leasing_contact,555TEN,,,,555ten.com,https://555ten.com/#availability,555ten,2026-05-28,system_import,
contact_70_greene_apartments,70 Greene Apartments leasing,leasing_contact,70 Greene Apartments,,,,equityapartments.com,https://www.equityapartments.com/new-york-city/jersey-city/70-greene-apartments,70_greene_apartments,2026-05-28,system_import,
contact_71_broadway_apartments,71 Broadway Apartments leasing,leasing_contact,71 Broadway Apartments,,,,equityapartments.com,https://www.equityapartments.com/new-york-city/financial-district/71-broadway-apartments,71_broadway_apartments,2026-05-28,system_import,
contact_777_6th_avenue_apartments,777 6th Avenue Apartments leasing,leasing_contact,777 6th Avenue Apartments,,,,equityapartments.com,https://www.equityapartments.com/new-york-city/chelsea/777-6th-avenue-apartments,777_6th_avenue_apartments,2026-05-28,system_import,
contact_95_wall,95 Wall leasing,leasing_contact,95 Wall,,,,udr.com,https://www.udr.com/new-york-city-apartments/lower-manhattan/95-wall/apartments-pricing/,95_wall,2026-05-28,system_import,
contact_columbus_square,Columbus Square leasing,leasing_contact,Columbus Square,,,,udr.com,https://www.udr.com/new-york-city-apartments/upper-west-side/columbus-square/apartments-pricing/,columbus_square,2026-05-28,system_import,
contact_eagle_lofts,Eagle Lofts leasing,leasing_contact,Eagle Lofts,,,,rockrose.com,https://rockrose.com/building/eagle-lofts/,eagle_lofts,2026-05-28,system_import,
contact_haus25,Haus25 leasing,leasing_contact,Haus25,,,,verisresidential.com,https://verisresidential.com/jersey-city-nj-apartments/haus25/,haus25,2026-05-28,system_import,
contact_hayden,Hayden leasing,leasing_contact,Hayden,,,,rockrose.com,https://rockrose.com/building/hayden/,hayden,2026-05-28,system_import,
contact_hudson_crossing_apartments,Hudson Crossing Apartments leasing,leasing_contact,Hudson Crossing Apartments,,,,equityapartments.com,https://www.equityapartments.com/new-york-city/midtown-west/hudson-crossing-apartments,hudson_crossing_apartments,2026-05-28,system_import,
contact_hudson_point_apartments,Hudson Point Apartments leasing,leasing_contact,Hudson Point Apartments,,,,equityapartments.com,https://www.equityapartments.com/new-york-city/jersey-city/hudson-point-apartments,hudson_point_apartments,2026-05-28,system_import,
contact_inwood_living,Inwood Living leasing,leasing_contact,Inwood Living,,,,3880ninthave.com,https://www.3880ninthave.com/availability,inwood_living,2026-05-28,system_import,
contact_jackson_park,Jackson Park leasing,leasing_contact,Jackson Park,,,,jacksonparklic.com,https://jacksonparklic.com/floorplans,jackson_park,2026-05-28,system_import,
contact_linc_lic,Linc LIC leasing,leasing_contact,Linc LIC,,,,rockrose.com,https://rockrose.com/building/linc-lic/,linc_lic,2026-05-28,system_import,
contact_longacre_house_apartments,Longacre House Apartments leasing,leasing_contact,Longacre House Apartments,,,,equityapartments.com,https://www.equityapartments.com/new-york-city/midtown/longacre-house-apartments,longacre_house_apartments,2026-05-28,system_import,
contact_lyra,Lyra leasing,leasing_contact,Lyra,,,,rockrose.com,https://rockrose.com/building/lyra/,lyra,2026-05-28,system_import,
contact_madox_apartments,Madox Apartments leasing,leasing_contact,Madox Apartments,,,,equityapartments.com,https://www.equityapartments.com/new-york-city/downtown-jersey-city/madox-apartments,madox_apartments,2026-05-28,system_import,
contact_miramar,Miramar leasing,leasing_contact,Miramar,,,,rentmiramar.com,https://rentmiramar.com/availability/,miramar,2026-05-28,system_import,
contact_newport_rentals,Newport Rentals leasing,leasing_contact,Newport Rentals,,,,newportrentals.com,https://www.newportrentals.com/apartments-jersey-city-for-rent/,newport_rentals,2026-05-28,system_import,
contact_ocean,Ocean leasing,leasing_contact,Ocean,,,,moinian.com,https://www.moinian.com/ocean,ocean,2026-05-28,system_import,
contact_portside_towers_apartments,Portside Towers Apartments leasing,leasing_contact,Portside Towers Apartments,,,,equityapartments.com,https://www.equityapartments.com/new-york-city/jersey-city/portside-towers-apartments,portside_towers_apartments,2026-05-28,system_import,
contact_sky,SKY leasing,leasing_contact,SKY,,,,liveatsky.com,https://www.liveatsky.com/floorplans,sky,2026-05-28,system_import,
contact_the_blvd_collection,The BLVD Collection leasing,leasing_contact,The BLVD Collection,,,,verisresidential.com,https://verisresidential.com/jersey-city-nj-apartments/the-blvd-collection/,the_blvd_collection,2026-05-28,system_import,
contact_the_cove,The Cove leasing,leasing_contact,The Cove,,,,rockrose.com,https://rockrose.com/building/the-cove/,the_cove,2026-05-28,system_import,
contact_the_lively,The Lively leasing,leasing_contact,The Lively,,,,thelivelyapartments.com,https://www.thelivelyapartments.com/floorplans,the_lively,2026-05-28,system_import,
contact_the_orchard_lic,The Orchard LIC leasing,leasing_contact,The Orchard LIC,,,,theorchardlic.com,https://theorchardlic.com/,the_orchard_lic,2026-05-28,system_import,
contact_the_pier_apartments,The Pier Apartments leasing,leasing_contact,The Pier Apartments,,,,equityapartments.com,https://www.equityapartments.com/new-york-city/jersey-city/the-pier-apartments,the_pier_apartments,2026-05-28,system_import,
contact_view_34,View 34 leasing,leasing_contact,View 34,,,,udr.com,https://www.udr.com/new-york-city-apartments/murray-hill/view-34/apartments-pricing/,view_34,2026-05-28,system_import,
