poi_id,building_id,building_name,poi_type,name,address,distance_meters,lat,lng,google_place_id,rating,user_rating_count,primary_type,source,source_url,source_last_checked,last_updated_at,source_name,updated_by,internal_notes
10_hanover_square_restaurant_1,10_hanover_square,10 Hanover Square,restaurant,Rice Bowl Cart,"10 Hanover Square, New York, NY 10005, USA",5,40.7045907,-74.0089037,ChIJdWypDltbwokR02sSJV-DryY,4.6,8,meal_takeaway,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_restaurant_2,10_hanover_square,10 Hanover Square,restaurant,Starbucks Coffee Company,"110 Pearl St, New York, NY 10005, USA",21,40.7046000,-74.0091200,ChIJQW9VeBZawokRXXEkUzWfmiQ,3.7,335,coffee_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_restaurant_3,10_hanover_square,10 Hanover Square,restaurant,Alhorno Lean Mexican Kitchen,"Pearl St, New York, NY 10004, USA",21,40.7047173,-74.0089982,ChIJcVReeRZawokRejD22zhlkwg,,,restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_restaurant_4,10_hanover_square,10 Hanover Square,restaurant,Aileen Thai,"10 Hanover Square, Hanover Square, New York, NY 10005, USA",26,40.7046040,-74.0091772,ChIJ3YhxGgBbwokRu4bXBKLIB6c,4.7,68,thai_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_restaurant_5,10_hanover_square,10 Hanover Square,restaurant,Banh Mi Cart,"10 Hanover Square, New York, NY 10004, USA",27,40.7044926,-74.0091932,ChIJD60JexZawokRKjQevWj9NKg,4.6,117,vietnamese_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_restaurant_6,10_hanover_square,10 Hanover Square,restaurant,LENWICH,"10 Hanover Square, New York, NY 10005, USA",30,40.7048093,-74.0088201,ChIJnVNUeBZawokR6cnhe7_o7PQ,4.1,246,sandwich_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_restaurant_7,10_hanover_square,10 Hanover Square,restaurant,Souvlaki GR Truck,"26-20 Old Slip, New York, NY 10005, USA",49,40.7041611,-74.0085954,ChIJdTSNiydbwokRGwQBsf6_vTQ,3.8,4,greek_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_restaurant_8,10_hanover_square,10 Hanover Square,restaurant,John's Corner Food Truck,"7 Hanover Square, New York, NY 10004, USA",53,40.7043305,-74.0094485,ChIJRS19JOhbwokRkKKBoi8ZqCw,5,3,restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_restaurant_9,10_hanover_square,10 Hanover Square,restaurant,Wall Street Grill,"128 Pearl St, New York, NY 10005, USA",56,40.7049874,-74.0085700,ChIJJ0daaxZawokRG_CF1AM2878,4.5,1264,steak_house,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_restaurant_10,10_hanover_square,10 Hanover Square,restaurant,Wonder Financial District,"5 Hanover Square, New York, NY 10004, USA",62,40.7050237,-74.0092588,ChIJ2VpwXwBbwokRabzSsxelPU8,4.3,90,restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_grocery_1,10_hanover_square,10 Hanover Square,grocery,Best Sicily Bottega,"85 Beaver St, New York, NY 10005, USA",98,40.7054168,-74.0087406,ChIJATp7v95bwokRkvO0TnWh_qU,4.8,312,coffee_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_grocery_2,10_hanover_square,10 Hanover Square,grocery,Duane Reade,"95 Wall St, New York, NY 10005, USA",134,40.7049254,-74.0073757,ChIJYTwCEhZawokRKjiYNeSE5cE,2.8,65,convenience_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_grocery_3,10_hanover_square,10 Hanover Square,grocery,Josie Green's Marketplace,"55 Water St, New York, NY 10041, USA",136,40.7033226,-74.0088962,ChIJgeVpXHNbwokRS7PZfBCeTw0,1,2,convenience_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_grocery_4,10_hanover_square,10 Hanover Square,grocery,NYC Convenience,"40 Water St, New York, NY 10004, USA",161,40.7035338,-74.0102506,ChIJw1zkyORbwokRrZLRy-PkvfE,3.5,21,convenience_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_grocery_5,10_hanover_square,10 Hanover Square,grocery,NYC convenience,"40 Exchange Pl, New York, NY 10005, USA",175,40.7057236,-74.0102663,ChIJ_1Cm_1tbwokRWe5fDcctKbI,5,21,convenience_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_grocery_6,10_hanover_square,10 Hanover Square,grocery,Rise and shine convenience store,"Wall St, New York, NY 10004, USA",211,40.7063848,-74.0095198,ChIJd3nnEWxbwokRSKu73v238SU,1,2,convenience_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_grocery_7,10_hanover_square,10 Hanover Square,grocery,Duane Reade,"67 Broad St, New York, NY 10004, USA",221,40.7048836,-74.0114694,ChIJo4ffphZawokR_OuUVH_-OsI,3,80,convenience_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_grocery_8,10_hanover_square,10 Hanover Square,grocery,City Acres Market,"70 Pine St, New York, NY 10270, USA",239,40.7063470,-74.0073462,ChIJd0SndOZbwokR5KltaCBjOcU,4.2,784,grocery_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_grocery_9,10_hanover_square,10 Hanover Square,grocery,"THE GROCERY STORE, LLC","29 Beaver St, New York, NY 10004, USA",251,40.7051938,-74.0117424,ChIJczjUXABbwokRlaFf8qaVVrM,,,grocery_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_1,10_hanover_square,10 Hanover Square,coffee,CBXT,"10 Hanover Square, New York, NY 10005, USA",14,40.7044536,-74.0089913,ChIJnVNUeBZawokRWw06mlwrXJ4,4.4,9,health,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_2,10_hanover_square,10 Hanover Square,coffee,Starbucks Coffee Company,"110 Pearl St, New York, NY 10005, USA",21,40.7046000,-74.0091200,ChIJQW9VeBZawokRXXEkUzWfmiQ,3.7,335,coffee_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_3,10_hanover_square,10 Hanover Square,coffee,LENWICH,"10 Hanover Square, New York, NY 10005, USA",30,40.7048093,-74.0088201,ChIJnVNUeBZawokR6cnhe7_o7PQ,4.1,246,sandwich_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_4,10_hanover_square,10 Hanover Square,coffee,Best Sicily Bottega,"85 Beaver St, New York, NY 10005, USA",98,40.7054168,-74.0087406,ChIJATp7v95bwokRkvO0TnWh_qU,4.8,312,coffee_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_5,10_hanover_square,10 Hanover Square,coffee,Conwell Coffee & Cocktail Hall,"6 Hanover St, New York, NY 10005, USA",101,40.7054353,-74.0091413,ChIJgTMBOPtbwokR1Y0sSidhvqI,4.4,847,cafe,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_6,10_hanover_square,10 Hanover Square,coffee,JOE & THE JUICE,"67 Wall St, New York, NY 10005, USA",133,40.7057099,-74.0085244,ChIJLwbpaRZawokRKM1sp6QXOjE,3.6,579,juice_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
